name,estimated_completion_time,expire_after_years,training_field
"Basic Plumbing Certification",20,3,"Plumbing"
"Electrical Safety Training",15,2,"Electrical"
"First Aid Certification",10,2,"Health & Safety"
"Gardening Basics Course",12,4,"Gardening"
"Childcare Essentials Certification",25,5,"Childcare"
"Makeup Artistry Course",30,3,"Beauty"
"Driving Safety Training",8,2,"Transport"
"Construction Safety Certification",15,5,"Construction"
"Advanced Carpentry Certification",40,3,"Carpentry"
"Professional Tutoring Course",20,4,"Education"
"House Cleaning Techniques Certification",10,1,"Cleaning"
"Digital Marketing Fundamentals",35,2,"Marketing"
"Home Repair Basics Certification",20,3,"Home Improvement"
"Pet Care Certification",18,4,"Animal Care"
"Landscaping Design Course",30,3,"Landscaping"
"Nutrition and Meal Planning Certification",25,2,"Health & Wellness"
"Handyman Skills Training",22,4,"Home Repair"
"Event Planning Certification",15,3,"Event Management"
"Photography Basics Course",12,5,"Photography"
"Social Media Management Certification",20,2,"Marketing"